State,Total
Alabama,"681,722"
Alaska,"33,114"
Arizona,"798,358"
Arkansas,"403,326"
California,"4,295,432"
Colorado,"548,360"
Connecticut,"468,874"
Delaware,"128,152"
District of Columbia,"49,810"
Florida,"2,920,247"
Georgia,"1,067,898"
Hawaii,"169,927"
Idaho,"185,761"
Illinois,"1,436,768"
Indiana,"823,097"
Iowa,"429,361"
Kansas,"336,790"
Kentucky,"630,711"
Louisiana,"569,946"
Maine,"213,308"
Maryland,"544,529"
Massachusetts,"817,417"
Michigan,"1,451,478"
Minnesota,"677,566"
Mississippi,"392,353"
Missouri,"827,818"
Montana,"126,085"
Nebraska,"217,073"
Nevada,"294,927"
New Hampshire,"163,822"
New Jersey,"1,060,513"
New Mexico,"255,414"
New York,"2,535,580"
North Carolina,"1,269,656"
North Dakota,"83,300"
Ohio,"1,634,697"
Oklahoma,"442,217"
Oregon,"538,975"
Pennsylvania,"1,878,311"
Rhode Island,"150,801"
South Carolina,"654,583"
South Dakota,"104,825"
Tennessee,"903,638"
Texas,"2,471,636"
Utah,"231,172"
Vermont,"94,501"
Virginia,"827,856"
Washington,"735,723"
West Virginia,"288,569"
Wisconsin,"722,372"
Wyoming,"58,379"
American Samoa,576
Guam,"3,080"
Northern Mariana Islands,480
Puerto Rico,"572,163"
Virgin Islands,"11,292"
Pending State Designation,923
Foreign and Other Outlying Areas,"11,034"
Total,"39,246,296"
